//Format:
//ID,Path.png,Frames,TicksPerFrame

//backgrounds
1,bg/close_grass.png,1,0
2,bg/horizon.png,1,0
3,bg/trees.png,1,0
4,bg/playerlayer.png,1,0
5,bg/horizon-past.png,1,0
6,bg/L1PlayerFuture.png,1,0
7,bg/empty.png,1,0
8,bg/L1PlayerPast.png,1,0
9,bg/desert.png,1,0
10,bg/close_desert.png,1,0

//Blocks
1001,tiles/grass-block.png,1,0
1002,tiles/lava.png,4,6
1003,tiles/water.png,1,0
1004,tiles/stone.png,1,0
1005,tiles/stone_ledge.png,1,0
1006,tiles/fan.png,4,5
1007,tiles/flag.png,1,0
1008,tiles/dirt-block.png,1,0
1009,tiles/grass-path.png,1,0
1010,tiles/rock.png,1,0
1011,tiles/hill.png,1,0
1012,tiles/lava_vent.png,15,2
1013,tiles/lantern.png,1,0
1014,tiles/thistle.png,1,0

//Entities
//Player
2001,entities/player/idle2.png,3,5
2002,entities/player/walk.png,20,1
2003,entities/player/idle2.png,3,5
2004,entities/player/teleport_placeholder.png,4,2

//Snail
2010,entities/snail/move.png,4,4
2011,entities/snail/hide.png,3,3
2012,entities/snail/unhide.png,3,3
2013,entities/snail/hidden.png,1,0

//Plant
2050,entities/plant/idle.png,10,3
2051,entities/plant/attack.png,8,3
2052,entities/plant/plantspit.png,1,0

//Particles
4001,particles/close_aerosol.png,10,2
4002,particles/sparkle.png,4,4
4003,particles/firefly.png,10,2
4004,particles/yellow_spark.png,10,2
4005,particles/aerosol_large.png,10,3
4006,particles/smoke.png,6,2
4007,particles/white_cloud.png,8,2
4008,particles/water_drip.png,5,2
4009,particles/rain_drip.png,1,0
4010,particles/goo.png,1,0
4011,particles/flame.png,4,3
4012,particles/magic_spark.png,5,2

//Menu
8001,menu/menu.png,1,0
8002,menu/menu_start.png,1,0
8003,menu/menu_start_s.png,1,0
8004,menu/menu_exit.png,1,0
8005,menu/menu_exit_s.png,1,0
8006,menu/menu_continue.png,1,0
8007,menu/menu_continue_s.png,1,0

//Icons
9001,gui/present.png,1,0
9002,gui/past.png,1,0

100001,gui/heart.png,1,0
100002,gui/lives.png,1,0
